job_location_str,std_loc_str,need_to_be_reviewed
PA,"Pennsylvania, United States",FALSE
Pennsylvania,"Pennsylvania, United States",FALSE
"Portland, Oregon Metropolitan Area","Portland, Oregon Metropolitan Area",TRUE
PR,"Puerto Rico, United States",FALSE
Puerto Rico,"Puerto Rico, United States",FALSE
Raleigh-Durham-Chapel Hill Area,"North Carolina, United States",FALSE
Rhode Island,"Rhode Island, United States",FALSE
RI,"Rhode Island, United States",FALSE
"San Antonio, Texas Metropolitan Area","Texas, United States",FALSE
San Diego Metropolitan Area,"California, United States",FALSE
San Francisco Bay Area,"California, United States",FALSE
SC,"South Carolina, United States",FALSE
SD,"South Dakota, United States",FALSE
South Carolina,"South Carolina, United States",FALSE
South Dakota,"South Dakota, United States",FALSE
Spokane-Coeur d'Alene Area,Spokane-Coeur d'Alene Area,TRUE
"Springfield, Illinois Metropolitan Area","Illinois, United States",FALSE
Tallahassee Metropolitan Area,"Florida, United States",FALSE
Tennessee,"Tennessee, United States",FALSE
Texas,"Texas, United States",FALSE
TN,"Tennessee, United States",FALSE
Trust Territories,"Trust Territories, United States",FALSE
TT,"Trust Territories, United States",FALSE
TX,"Texas, United States",FALSE
United States,United States,FALSE
UT,"Utah, United States",FALSE
Utah,"Utah, United States",FALSE
Utica-Rome Area,Utica-Rome Area,TRUE
VA,"Virginia, United States",FALSE
Vermont,"Vermont, United States",FALSE
VI,"Virgin Islands, United States",FALSE
Virgin Islands,"Virgin Islands, United States",FALSE
Virginia,"Virginia, United States",FALSE
VT,"Vermont, United States",FALSE
WA,"Washington, United States",FALSE
Washington,"Washington, United States",FALSE
Washington DC-Baltimore Area,"District of Columbia, United States",FALSE
West Virginia,"West Virginia, United States",FALSE
WI,"Wisconsin, United States",FALSE
"Wichita, Kansas Metropolitan Area","Kansas, United States",FALSE
Wisconsin,"Wisconsin, United States",FALSE
WV,"West Virginia, United States",FALSE
WY,"Wyoming, United States",FALSE
Wyoming,"Wyoming, United States",FALSE
