"job_location_str","std_loc_str","createdAt","updatedAt","need_to_be_reviewed"
"Hyderabad, Telangana, India","deletion flag","2022-08-07 06:30:36.441479+00","2022-08-07 06:30:36.441479+00",True
"IA","Iowa, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"ID","Idaho, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Idaho","Idaho, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"IL","Illinois, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Illinois","Illinois, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"IN","Indiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Indiana","Indiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Iowa","Iowa, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Iowa City-Cedar Rapids Area","Iowa, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Kansas","Kansas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Kansas City Metropolitan Area","Kansas City Metropolitan Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Kentucky","Kentucky, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Knoxville Metropolitan Area","Knoxville Metropolitan Area","2022-08-07 06:30:34.30088+00","2022-08-07 06:30:34.30088+00",True
"KS","Kansas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"KY","Kentucky, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"LA","Louisiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Lafayette, Indiana Metropolitan Area","Indiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Lawton Area","Lawton Area","2022-08-07 06:31:04.048053+00","2022-08-07 06:31:04.048053+00",True
"Longview-Marshall Area","Longview-Marshall Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Los Angeles Metropolitan Area","California, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Louisiana","Louisiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Louisville Metropolitan Area","Louisville Metropolitan Area","2022-08-07 06:30:52.084042+00","2022-08-07 06:30:52.084042+00",True
"MA","Massachusetts, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Maine","Maine, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Maryland","Maryland, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Massachusetts","Massachusetts, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"MD","Maryland, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"ME","Maine, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Memphis Metropolitan Area","Memphis Metropolitan Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"MI","Michigan, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Miami-Fort Lauderdale Area","Miami-Fort Lauderdale Area","2022-08-07 06:30:32.668889+00","2022-08-07 06:30:32.668889+00",True
"Michigan","Michigan, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Minnesota","Minnesota, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Mississippi","Mississippi, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Missouri","Missouri, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"MN","Minnesota, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"MO","Missouri, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Montana","Montana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"MS","Mississippi, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"MT","Montana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Mumbai, Maharashtra, India","deletion flag","2022-08-07 06:30:36.380999+00","2022-08-07 06:30:36.380999+00",True
"Nashville Metropolitan Area","Nashville Metropolitan Area","2022-08-07 06:30:57.732164+00","2022-08-07 06:30:57.732164+00",True
"NC","North Carolina, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"ND","North Dakota, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"NE","Nebraska, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Nebraska","Nebraska, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Nevada","Nevada, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"New Hampshire","New Hampshire, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"New Jersey","New Jersey, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"New Mexico","New Mexico, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"New York","New York, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"New York City Metropolitan Area","New York City Metropolitan Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"NH","New Hampshire, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"NJ","New Jersey, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"NM","New Mexico, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"North Carolina","North Carolina, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"North Dakota","North Dakota, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Northern Mariana Islands","Northern Mariana Islands, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"North Port-Sarasota Area","Florida, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"NV","Nevada, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"NY","New York, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"OH","Ohio, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Ohio","Ohio, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"OK","Oklahoma, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Oklahoma","Oklahoma, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Oklahoma City Metropolitan Area","Oklahoma City Metropolitan Area","2022-08-07 06:30:50.512047+00","2022-08-07 06:30:50.512047+00",True
"OR","Oregon, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Oregon","Oregon, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"PA","Pennsylvania, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Pennsylvania","Pennsylvania, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Portland, Oregon Metropolitan Area","Portland, Oregon Metropolitan Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"PR","Puerto Rico, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Pueblo-Cañon City Area","Pueblo-Cañon City Area","2022-08-07 06:30:35.764902+00","2022-08-07 06:30:35.764902+00",True
"Puerto Rico","Puerto Rico, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Raleigh-Durham-Chapel Hill Area","North Carolina, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Rhode Island","Rhode Island, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"RI","Rhode Island, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Rochester-Austin, Minnesota Area","Rochester-Austin, Minnesota Area","2022-08-07 06:30:33.488889+00","2022-08-07 06:30:33.488889+00",True
"San Antonio, Texas Metropolitan Area","Texas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"San Diego Metropolitan Area","California, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"San Francisco Bay Area","California, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"SC","South Carolina, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"SD","South Dakota, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Shanghai, Shanghai, China","deletion flag","2022-08-07 06:30:36.296895+00","2022-08-07 06:30:36.296895+00",True
"South Carolina","South Carolina, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"South Dakota","South Dakota, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Spokane-Coeur d'Alene Area","Spokane-Coeur d'Alene Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Springfield, Illinois Metropolitan Area","Illinois, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Taguig, National Capital Region, Philippines","Taguig, National Capital Region, Philippines","2022-08-07 06:30:36.449798+00","2022-08-07 06:30:36.449798+00",True
"Tallahassee Metropolitan Area","Florida, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Tennessee","Tennessee, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Texas","Texas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"TN","Tennessee, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Trust Territories","Trust Territories, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"TT","Trust Territories, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"TX","Texas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"United States","United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"UT","Utah, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Utah","Utah, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Utica-Rome Area","Utica-Rome Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"VA","Virginia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Vermont","Vermont, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"VI","Virgin Islands, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Virginia","Virginia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Virgin Islands","Virgin Islands, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"VT","Vermont, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"WA","Washington, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Washington","Washington, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Washington DC-Baltimore Area","District of Columbia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Weesp, North Holland, Netherlands","Weesp, North Holland, Netherlands","2022-08-07 06:30:36.417548+00","2022-08-07 06:30:36.417548+00",True
"West Virginia","West Virginia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"WI","Wisconsin, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Wichita, Kansas Metropolitan Area","Kansas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Wisconsin","Wisconsin, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"WV","West Virginia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"WY","Wyoming, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Wyoming","Wyoming, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Zwolle, Overijssel, Netherlands","Zwolle, Overijssel, Netherlands","2022-08-07 06:30:36.465316+00","2022-08-07 06:30:36.465316+00",True
